age	ct	batch
old_ST_HSC_biol_replicate_49	old	STHSC	b2
old_ST_HSC_biol_replicate_50	old	STHSC	b2
old_ST_HSC_biol_replicate_51	old	STHSC	b2
old_ST_HSC_biol_replicate_52	old	STHSC	b2
old_ST_HSC_biol_replicate_53	old	STHSC	b2
old_ST_HSC_biol_replicate_54	old	STHSC	b2
old_ST_HSC_biol_replicate_55	old	STHSC	b2
old_ST_HSC_biol_replicate_56	old	STHSC	b2
old_ST_HSC_biol_replicate_57	old	STHSC	b2
old_ST_HSC_biol_replicate_58	old	STHSC	b2
old_ST_HSC_biol_replicate_59	old	STHSC	b2
old_ST_HSC_biol_replicate_60	old	STHSC	b2
old_ST_HSC_biol_replicate_61	old	STHSC	b2
old_ST_HSC_biol_replicate_62	old	STHSC	b2
old_ST_HSC_biol_replicate_63	old	STHSC	b2
old_ST_HSC_biol_replicate_64	old	STHSC	b2
old_ST_HSC_biol_replicate_65	old	STHSC	b2
old_ST_HSC_biol_replicate_66	old	STHSC	b2
old_ST_HSC_biol_replicate_67	old	STHSC	b2
old_ST_HSC_biol_replicate_68	old	STHSC	b2
old_ST_HSC_biol_replicate_69	old	STHSC	b2
old_ST_HSC_biol_replicate_70	old	STHSC	b2
old_ST_HSC_biol_replicate_71	old	STHSC	b2
old_ST_HSC_biol_replicate_72	old	STHSC	b2
old_ST_HSC_biol_replicate_73	old	STHSC	b2
old_ST_HSC_biol_replicate_74	old	STHSC	b2
old_ST_HSC_biol_replicate_75	old	STHSC	b2
old_ST_HSC_biol_replicate_76	old	STHSC	b2
old_ST_HSC_biol_replicate_77	old	STHSC	b2
old_ST_HSC_biol_replicate_78	old	STHSC	b2
old_ST_HSC_biol_replicate_79	old	STHSC	b2
old_ST_HSC_biol_replicate_80	old	STHSC	b2
old_ST_HSC_biol_replicate_81	old	STHSC	b2
old_ST_HSC_biol_replicate_82	old	STHSC	b2
old_ST_HSC_biol_replicate_83	old	STHSC	b2
old_ST_HSC_biol_replicate_84	old	STHSC	b2
old_ST_HSC_biol_replicate_85	old	STHSC	b2
old_ST_HSC_biol_replicate_86	old	STHSC	b2
old_ST_HSC_biol_replicate_87	old	STHSC	b2
old_ST_HSC_biol_replicate_88	old	STHSC	b2
old_ST_HSC_biol_replicate_89	old	STHSC	b2
old_ST_HSC_biol_replicate_90	old	STHSC	b2
old_ST_HSC_biol_replicate_91	old	STHSC	b2
old_ST_HSC_biol_replicate_92	old	STHSC	b2
old_ST_HSC_biol_replicate_93	old	STHSC	b2
old_ST_HSC_biol_replicate_94	old	STHSC	b2
old_ST_HSC_biol_replicate_95	old	STHSC	b2
old_ST_HSC_biol_replicate_96	old	STHSC	b2
old_ST_HSC_biol_replicate_97	old	STHSC	b2
old_ST_HSC_biol_replicate_98	old	STHSC	b2
old_ST_HSC_biol_replicate_99	old	STHSC	b2
old_ST_HSC_biol_replicate_100	old	STHSC	b2
old_ST_HSC_biol_replicate_101	old	STHSC	b2
old_ST_HSC_biol_replicate_102	old	STHSC	b2
old_ST_HSC_biol_replicate_103	old	STHSC	b2
old_ST_HSC_biol_replicate_105	old	STHSC	b2
old_ST_HSC_biol_replicate_106	old	STHSC	b2
old_ST_HSC_biol_replicate_107	old	STHSC	b2
old_ST_HSC_biol_replicate_108	old	STHSC	b2
old_ST_HSC_biol_replicate_109	old	STHSC	b2
old_ST_HSC_biol_replicate_110	old	STHSC	b2
old_ST_HSC_biol_replicate_111	old	STHSC	b2
old_ST_HSC_biol_replicate_112	old	STHSC	b2
old_ST_HSC_biol_replicate_114	old	STHSC	b2
old_ST_HSC_biol_replicate_115	old	STHSC	b2
old_ST_HSC_biol_replicate_116	old	STHSC	b2
old_ST_HSC_biol_replicate_117	old	STHSC	b2
old_ST_HSC_biol_replicate_118	old	STHSC	b2
old_ST_HSC_biol_replicate_119	old	STHSC	b2
old_ST_HSC_biol_replicate_121	old	STHSC	b2
old_ST_HSC_biol_replicate_122	old	STHSC	b2
old_ST_HSC_biol_replicate_123	old	STHSC	b2
old_ST_HSC_biol_replicate_124	old	STHSC	b2
old_ST_HSC_biol_replicate_125	old	STHSC	b2
old_ST_HSC_biol_replicate_126	old	STHSC	b2
old_ST_HSC_biol_replicate_127	old	STHSC	b2
old_ST_HSC_biol_replicate_129	old	STHSC	b2
old_ST_HSC_biol_replicate_131	old	STHSC	b2
old_ST_HSC_biol_replicate_132	old	STHSC	b2
old_ST_HSC_biol_replicate_133	old	STHSC	b2
old_ST_HSC_biol_replicate_134	old	STHSC	b2
old_ST_HSC_biol_replicate_135	old	STHSC	b2
old_ST_HSC_biol_replicate_136	old	STHSC	b2
old_ST_HSC_biol_replicate_137	old	STHSC	b2
old_ST_HSC_biol_replicate_138	old	STHSC	b2
old_ST_HSC_biol_replicate_139	old	STHSC	b2
old_ST_HSC_biol_replicate_141	old	STHSC	b2
old_ST_HSC_biol_replicate_143	old	STHSC	b2
old_ST_HSC_biol_replicate_144	old	STHSC	b2
old_ST_HSC_biol_replicate_145	old	STHSC	b2
old_ST_HSC_biol_replicate_146	old	STHSC	b2
old_ST_HSC_biol_replicate_147	old	STHSC	b2
old_ST_HSC_biol_replicate_148	old	STHSC	b2
old_ST_HSC_biol_replicate_149	old	STHSC	b2
old_ST_HSC_biol_replicate_150	old	STHSC	b2
old_ST_HSC_biol_replicate_151	old	STHSC	b2
old_ST_HSC_biol_replicate_153	old	STHSC	b2
old_ST_HSC_biol_replicate_154	old	STHSC	b2
old_ST_HSC_biol_replicate_155	old	STHSC	b2
old_ST_HSC_biol_replicate_156	old	STHSC	b2
old_ST_HSC_biol_replicate_157	old	STHSC	b2
old_ST_HSC_biol_replicate_159	old	STHSC	b2
old_ST_HSC_biol_replicate_160	old	STHSC	b2
old_ST_HSC_biol_replicate_161	old	STHSC	b2
old_ST_HSC_biol_replicate_162	old	STHSC	b2
old_ST_HSC_biol_replicate_163	old	STHSC	b2
old_ST_HSC_biol_replicate_164	old	STHSC	b2
old_ST_HSC_biol_replicate_165	old	STHSC	b2
old_ST_HSC_biol_replicate_166	old	STHSC	b2
old_ST_HSC_biol_replicate_167	old	STHSC	b2
old_ST_HSC_biol_replicate_168	old	STHSC	b2
old_ST_HSC_biol_replicate_169	old	STHSC	b2
old_ST_HSC_biol_replicate_170	old	STHSC	b2
old_ST_HSC_biol_replicate_171	old	STHSC	b2
old_ST_HSC_biol_replicate_172	old	STHSC	b2
old_ST_HSC_biol_replicate_173	old	STHSC	b2
old_ST_HSC_biol_replicate_174	old	STHSC	b2
old_ST_HSC_biol_replicate_175	old	STHSC	b2
old_ST_HSC_biol_replicate_176	old	STHSC	b2
old_ST_HSC_biol_replicate_177	old	STHSC	b2
old_ST_HSC_biol_replicate_178	old	STHSC	b2
old_ST_HSC_biol_replicate_179	old	STHSC	b2
old_ST_HSC_biol_replicate_181	old	STHSC	b2
old_ST_HSC_biol_replicate_182	old	STHSC	b2
old_ST_HSC_biol_replicate_183	old	STHSC	b2
old_ST_HSC_biol_replicate_184	old	STHSC	b2
old_ST_HSC_biol_replicate_185	old	STHSC	b2
old_ST_HSC_biol_replicate_186	old	STHSC	b2
old_ST_HSC_biol_replicate_188	old	STHSC	b2
old_ST_HSC_biol_replicate_189	old	STHSC	b2
old_ST_HSC_biol_replicate_190	old	STHSC	b2
old_ST_HSC_biol_replicate_191	old	STHSC	b2
old_ST_HSC_biol_replicate_192	old	STHSC	b2
